Series_Title,IMDB_Rating,Runtime,Released_Year,Genre
The Bridge on the River Kwai,8.1,161,1957,"Adventure, Drama, War"
On the Waterfront,8.1,108,1954,"Crime, Drama, Thriller"
Le salaire de la peur,8.1,131,1953,"Adventure, Drama, Thriller"
Ace in the Hole,8.1,111,1951,"Drama, Film-Noir"
White Heat,8.1,114,1949,"Action, Crime, Drama"
The Third Man,8.1,104,1949,"Film-Noir, Mystery, Thriller"
The Red Shoes,8.1,135,1948,"Drama, Music, Romance"
The Shop Around the Corner,8.1,99,1940,"Comedy, Drama, Romance"
Rebecca,8.1,130,1940,"Drama, Mystery, Romance"
Mr. Smith Goes to Washington,8.1,129,1939,"Comedy, Drama"
Gone with the Wind,8.1,238,1939,"Drama, History, Romance"
La Grande Illusion,8.1,113,1937,"Drama, War"
It Happened One Night,8.1,105,1934,"Comedy, Romance"
La passion de Jeanne d'Arc,8.1,110,1928,"Biography, Drama, History"
The Circus,8.1,72,1928,"Comedy, Romance"
Sunrise: A Song of Two Humans,8.1,94,1927,"Drama, Romance"
The General,8.1,67,1926,"Action, Adventure, Comedy"
Das Cabinet des Dr. Caligari,8.1,76,1920,"Fantasy, Horror, Mystery"
Badhaai ho,8,124,2018,"Comedy, Drama"
Togo,8,113,2019,"Adventure, Biography, Drama"
Airlift,8,130,2016,"Drama, History"
Bajrangi Bhaijaan,8,163,2015,"Action, Adventure, Comedy"
Baby,8,159,2015,"Action, Crime, Thriller"
La La Land,8,128,2016,"Comedy, Drama, Music"
Lion,8,118,2016,"Biography, Drama"
The Martian,8,144,2015,"Adventure, Drama, Sci-Fi"
Zootopia,8,108,2016,"Animation, Adventure, Comedy"
Bãhubali: The Beginning,8,159,2015,"Action, Drama"
Kaguyahime no monogatari,8,137,2013,"Animation, Adventure, Drama"
Wonder,8,113,2017,"Drama, Family"
Gully Boy,8,154,2019,"Drama, Music, Romance"
Special Chabbis,8,144,2013,"Crime, Drama, Thriller"
Short Term 12,8,96,2013,Drama
Serbuan maut 2: Berandal,8,150,2014,"Action, Crime, Thriller"
The Imitation Game,8,114,2014,"Biography, Drama, Thriller"
Guardians of the Galaxy,8,121,2014,"Action, Adventure, Comedy"
Blade Runner 2049,8,164,2017,"Action, Drama, Mystery"
Her,8,126,2013,"Drama, Romance, Sci-Fi"
Bohemian Rhapsody,8,134,2018,"Biography, Drama, Music"
The Revenant,8,156,2015,"Action, Adventure, Drama"
The Perks of Being a Wallflower,8,103,2012,"Drama, Romance"
Tropa de Elite 2: O Inimigo Agora é Outro,8,115,2010,"Action, Crime, Drama"
The King's Speech,8,118,2010,"Biography, Drama, History"
The Help,8,146,2011,Drama
Deadpool,8,108,2016,"Action, Adventure, Comedy"
